item,City,Latitude,Longitude,Year,Amount,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2005,581,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2005,2318,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2005,2969,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2005,473,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2005,365,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2005,1456,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2005,2629,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2005,3002,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2005,609,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2005,2933,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2005,18962,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2005,815,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2005,920,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2005,1192,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2005,664,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2005,5665,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2005,162,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2005,346,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2005,8875,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2006,839,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2006,2468,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2006,1986,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2006,491,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2006,381,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2006,1513,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2006,2621,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2006,3171,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2006,664,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2006,2878,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2006,19059,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2006,879,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2006,817,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2006,1315,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2006,632,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2006,6135,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2006,141,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2006,312,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2006,8453,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2007,801,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2007,3019,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2007,1633,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2007,537,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2007,406,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2007,1644,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2007,2740,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2007,3156,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2007,713,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2007,3020,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2007,20238,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2007,932,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2007,837,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2007,1457,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2007,662,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2007,6241,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2007,130,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2007,291,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2007,8846,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2008,575,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2008,2757,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2008,1505,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2008,561,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2008,419,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2008,1595,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2008,2885,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2008,3056,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2008,724,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2008,3324,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2008,20830,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2008,919,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2008,882,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2008,1476,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2008,726,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2008,6303,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2008,123,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2008,323,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2008,8947,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2009,510,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2009,2206,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2009,1897,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2009,584,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2009,434,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2009,1486,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2009,2861,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2009,2787,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2009,766,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2009,3485,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2009,20620,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2009,960,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2009,863,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2009,1506,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2009,711,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2009,5953,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2009,114,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2009,362,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2009,8840,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2010,411,,,,,,,,,,,,,,,,,,
Apparel and services,Chicago,41.8781 N,87.6298 W,2010,1985,,,,,,,,,,,,,,,,,,
Cash contributions,Chicago,41.8781 N,87.6298 W,2010,1815,,,,,,,,,,,,,,,,,,
Cereals and bakery products,Chicago,41.8781 N,87.6298 W,2010,615,,,,,,,,,,,,,,,,,,
Dairy products,Chicago,41.8781 N,87.6298 W,2010,433,,,,,,,,,,,,,,,,,,
Education,Chicago,41.8781 N,87.6298 W,2010,1587,,,,,,,,,,,,,,,,,,
Entertainment,Chicago,41.8781 N,87.6298 W,2010,3095,,,,,,,,,,,,,,,,,,
Food away from home,Chicago,41.8781 N,87.6298 W,2010,2767,,,,,,,,,,,,,,,,,,
Fruits and vegetables,Chicago,41.8781 N,87.6298 W,2010,875,,,,,,,,,,,,,,,,,,
Healthcare,Chicago,41.8781 N,87.6298 W,2010,3500,,,,,,,,,,,,,,,,,,
Housing,Chicago,41.8781 N,87.6298 W,2010,20537,,,,,,,,,,,,,,,,,,
"Meats, poultry, fish, and eggs",Chicago,41.8781 N,87.6298 W,2010,956,,,,,,,,,,,,,,,,,,
Miscellaneous,Chicago,41.8781 N,87.6298 W,2010,768,,,,,,,,,,,,,,,,,,
Other food at home,Chicago,41.8781 N,87.6298 W,2010,1555,,,,,,,,,,,,,,,,,,
Personal care products and services,Chicago,41.8781 N,87.6298 W,2010,703,,,,,,,,,,,,,,,,,,
Personal insurance and pensions,Chicago,41.8781 N,87.6298 W,2010,6315,,,,,,,,,,,,,,,,,,
Reading,Chicago,41.8781 N,87.6298 W,2010,111,,,,,,,,,,,,,,,,,,
Tobacco products and smoking supplies,Chicago,41.8781 N,87.6298 W,2010,332,,,,,,,,,,,,,,,,,,
Transportation,Chicago,41.8781 N,87.6298 W,2010,8662,,,,,,,,,,,,,,,,,,
Alcoholic beverages,Chicago,41.8781 N,87.6298 W,2011,439,,,,,,,,,,,,,,,,,,
